	words_perf_verbs	words_imperf_verbs	things_concr_k10	abstr_concr_k10	mean
0	гребенка_NOUN	гребенка_NOUN	0.30083123646225685	0.18677810184033058	0.24380466915129373
1	бюджет_NOUN	бюджет_NOUN	0.17004170697429172	0.2592756624430349	0.2146586847086633
2	письмо_NOUN	письмо_NOUN	0.2601187325324712	0.2166311815701655	0.23837495705131834
3	правительство_NOUN	правительство_NOUN	0.14200630165079373	0.26368603166135346	0.20284616665607358
4	зарплата_NOUN	зарплата_NOUN	0.16605072982381813	0.24700744167628316	0.20652908575005063
5	доход_NOUN	доход_NOUN	0.14790352946493907	0.27504752806656074	0.2114755287657499
6	кризис_NOUN	кризис_NOUN	0.14549313430495187	0.32441068180001065	0.23495190805248126
7	блог_NOUN	блог_NOUN	0.23258164026730438	0.21006055564694268	0.2213210979571235
8	создавать_VERB	создавать_VERB	0.14900087128467523	0.19828121682097574	0.1736410440528255
9	финансовый_ADJ	финансовый_ADJ	0.12817715160866772	0.24383991406289618	0.18600853283578195
10	разработчик_NOUN	разработчик_NOUN	0.19677136138994394	0.2215585007994571	0.20916493109470052
11	вывод_NOUN	вывод_NOUN	0.1494382935141095	0.21483781053162487	0.1821380520228672
12	страница_NOUN	страница_NOUN	0.26432350194530374	0.20522044946571888	0.2347719757055113
13	коллектив_NOUN	коллектив_NOUN	0.17364969782512923	0.24863885357815932	0.2111442757016443
14	социальный_ADJ	социальный_ADJ	0.1103180162928454	0.23706928243419031	0.17369364936351786
15	инфляция_NOUN	инфляция_NOUN	0.16271369755734044	0.3051091978317755	0.23391144769455796
16	перспектива_NOUN	перспектива_NOUN	0.12783336976025722	0.30976142338799806	0.21879739657412764
17	наука_NOUN	наука_NOUN	0.15752697014230646	0.3026649197109402	0.23009594492662333
18	сообщество_NOUN	сообщество_NOUN	0.12548290916555332	0.25473932439964075	0.19011111678259704
19	секс_NOUN	секс_NOUN	0.23848724779301156	0.26145533119012027	0.2499712894915659
20	самолюбие_NOUN	самолюбие_NOUN	0.2176975491911522	0.4117648658756849	0.31473120753341854
21	собственность_NOUN	собственность_NOUN	0.1420867789680058	0.28849211853262424	0.21528944875031503
22	достижение_NOUN	достижение_NOUN	0.1379221766365209	0.2828607198205818	0.21039144822855135
23	официальный_ADJ	официальный_ADJ	0.1585590915078744	0.19173653791454134	0.17514781471120788
24	пуд_NOUN	пуд_NOUN	0.316079366727575	0.2229045223607246	0.2694919445441498
25	творческий_ADJ	творческий_ADJ	0.15112683807342356	0.3201985416821609	0.2356626898777922
26	понятие_NOUN	понятие_NOUN	0.13949447021362799	0.35861228529210853	0.24905337775286826
27	термин_NOUN	термин_NOUN	0.15496376553575691	0.37415607696371345	0.26455992124973515
28	капитал_NOUN	капитал_NOUN	0.15595284109148744	0.2878234232001002	0.2218881321457938
29	тоска_NOUN	тоска_NOUN	0.24841067755283947	0.4482727573983138	0.34834171747557663
30	преимущество_NOUN	преимущество_NOUN	0.1591410768146476	0.30070748786621765	0.2299242823404326
31	кредит_NOUN	кредит_NOUN	0.1957132347798157	0.229203686423122	0.21245846060146883
32	запрос_NOUN	запрос_NOUN	0.1599283933853311	0.21574036473658692	0.187834379060959
33	спорт_NOUN	спорт_NOUN	0.24121154205359246	0.18112053110954943	0.21116603658157096
34	совесть_NOUN	совесть_NOUN	0.18058254755486444	0.32954205090313415	0.2550622992289993
35	конфликт_NOUN	конфликт_NOUN	0.1262350084350528	0.39869585647571054	0.2624654324553817
36	писатель_NOUN	писатель_NOUN	0.20010982609412803	0.2875079315093943	0.24380887880176116
37	экономика_NOUN	экономика_NOUN	0.15978915365592114	0.3261999152455385	0.24299453445072983
38	общение_NOUN	общение_NOUN	0.14338805283350542	0.2787554224109844	0.2110717376222449
39	стратегия_NOUN	стратегия_NOUN	0.13794329062759741	0.29385327935199196	0.2158982849897947
